=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-4-12_2-9-8
====================================================================================
2:9:8 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5223.821777, 73.999992, 3237.910156>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5223.777344, 74.000008, 3237.874023>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5223.749023, 74.000008, 3237.850586>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5223.114258, 74.000008, 3237.358887>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5222.575195, 74.000023, 3236.947510>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5222.036133, 74.000023, 3236.536621>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5221.290527, 73.999992, 3235.967285>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5220.590332, 73.999992, 3235.432617>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5219.944336, 74.000008, 3234.939209>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5219.366699, 74.000000, 3234.498047>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5218.860352, 73.999985, 3234.110840>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5218.435547, 74.000008, 3233.785400>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5218.083008, 73.999992, 3233.515137>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5217.346191, 74.000023, 3232.950928>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5210.374023, 74.000000, 3227.597168>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5203.094238, 73.999992, 3221.989258>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5203.057617, 74.000000, 3221.959229>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5203.020996, 74.000008, 3221.929199>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.984863, 73.999992, 3221.899902>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.952148, 73.999992, 3221.873047>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.917969, 74.000008, 3221.844482>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.883301, 73.999985, 3221.816162>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.851563, 73.999992, 3221.790283>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.816895, 73.999992, 3221.761475>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.781250, 73.999992, 3221.732178>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.747070, 73.999992, 3221.704102>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5198.469238, 73.999992, 3218.438721>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.993164, 74.000000, 3217.311768>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.510742, 74.000000, 3216.943359>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.262207, 73.999992, 3216.748047>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.189453, 73.999992, 3216.690918>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.164063, 73.999985, 3216.670898>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.065918, 74.000000, 3216.590088>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.073730, 73.999992, 3216.596680>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.081543, 74.000000, 3216.603271>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.089355, 73.999992, 3216.609619>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5194.970215, 73.999992, 3215.754639>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5193.939941, 74.000000, 3214.967773>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5193.016602, 73.999985, 3214.262207>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5192.213379, 73.999985, 3213.648193>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5191.536621, 74.000000, 3213.130127>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5190.647949, 73.999992, 3212.449951>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5189.960938, 74.000000, 3211.924316>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5189.449707, 74.000000, 3211.533203>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5188.145996, 73.999977, 3210.536377>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5187.239258, 74.000008, 3209.843262>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5186.625488, 73.999992, 3209.374023>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5185.336426, 73.999992, 3208.387695>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5184.510742, 74.000008, 3207.756104>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5184.004883, 73.999992, 3207.369141>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5182.190430, 73.999992, 3205.981689>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5181.154297, 73.999985, 3205.189453>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5179.273926, 73.999992, 3203.750977>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5178.294922, 74.000000, 3203.002197>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5177.809082, 74.000008, 3202.630615>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5177.570801, 74.000008, 3202.447998>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5177.441406, 74.000008, 3202.347412>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5177.365723, 74.000015, 3202.287842>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5174.485840, 73.999985, 3200.087402>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5173.328125, 74.000000, 3199.203125>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5172.891602, 74.000008, 3198.869629>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5171.493164, 73.999985, 3197.798828>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5171.029785, 74.000000, 3197.444092>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5170.885254, 73.999985, 3197.333252>)
2:46:51 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5167.811035, 74.000000, 3194.982910>)
2:46:52 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5160.572754, 74.000000, 3189.409668>)
2:46:52 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5153.366211, 73.999992, 3183.796143>)
2:46:52 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5146.532227, 73.999992, 3178.405518>)
2:46:53 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5140.687988, 74.000015, 3173.574219>)
2:47:28 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (ConstructionHelmet_Red)
2:48:21 | "Zackstabz" (steamid=76561198118650977) just updated a health stat on (steamid=76561198118650977)
2:48:26 | "Zackstabz" (steamid=76561198118650977) just updated a health stat on (steamid=76561198118650977)
2:48:35 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5307.748535, 73.999992, 3299.969727>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5296.313477, 74.000000, 3291.529541>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5296.280273, 73.999992, 3291.502197>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5296.245117, 74.000000, 3291.470703>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5296.212891, 74.000008, 3291.441895>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5285.755859, 74.000000, 3283.768311>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5285.937500, 74.000008, 3283.889404>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5286.075684, 73.999992, 3283.981201>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5286.193848, 74.000000, 3284.053711>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5286.312500, 73.999992, 3284.117676>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5286.427734, 73.999992, 3284.178711>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5276.146484, 74.000008, 3276.588623>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5276.326660, 73.999985, 3276.677246>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5276.500488, 74.000015, 3276.763184>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5276.573242, 74.000015, 3276.774902>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5276.753906, 74.000008, 3276.869385>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5276.925781, 74.000000, 3276.959961>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5267.470703, 74.000000, 3269.850098>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5267.512207, 74.000008, 3269.869873>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5267.507324, 74.000008, 3269.836914>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5267.584961, 74.000000, 3269.877197>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5267.662598, 74.000008, 3269.917480>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5267.735840, 73.999992, 3269.957275>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5267.794434, 73.999992, 3269.992920>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5267.842773, 74.000000, 3270.018311>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5265.892578, 73.999992, 3268.555420>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.299316, 74.000008, 3267.306152>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5262.990723, 73.999992, 3266.274658>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5262.019531, 74.000000, 3265.511230>)
2:48:36 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5253.052246, 74.000008, 3258.376221>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5244.348633, 74.000008, 3251.660645>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5235.790039, 74.000000, 3245.293945>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5235.738770, 73.999992, 3245.254639>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5235.689453, 74.000008, 3245.216553>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5235.644531, 74.000008, 3245.182129>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5235.601074, 74.000000, 3245.148926>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5235.563477, 74.000015, 3245.120361>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5235.527344, 74.000000, 3245.092041>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5231.135742, 74.000008, 3241.851563>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5229.123535, 73.999969, 3240.370605>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5228.171875, 74.000008, 3239.665283>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5227.788574, 74.000008, 3239.383057>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5227.642090, 74.000000, 3239.275879>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5223.312988, 74.000008, 3236.080811>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5221.802246, 74.000000, 3234.968018>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5221.320313, 74.000000, 3234.612549>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5221.173828, 74.000008, 3234.499023>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5221.123047, 74.000008, 3234.453857>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5216.690430, 74.000015, 3231.179932>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5215.689453, 73.999992, 3230.422363>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5215.500488, 74.000000, 3230.268066>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5213.701660, 74.000023, 3228.919434>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5213.454102, 74.000000, 3228.714844>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5208.554199, 74.000000, 3225.059814>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5208.041992, 74.000015, 3224.668213>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5208.016113, 74.000008, 3224.640625>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5207.707031, 73.999992, 3224.396484>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5207.490723, 74.000015, 3224.226074>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5207.272461, 74.000015, 3224.054688>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5206.205078, 74.000008, 3223.264160>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5205.200684, 74.000000, 3222.506592>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5204.290527, 74.000000, 3221.819824>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5203.467773, 73.999992, 3221.201172>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.752441, 73.999992, 3220.664551>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5202.146973, 73.999977, 3220.209229>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5201.192871, 74.000000, 3219.497070>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5200.446289, 73.999992, 3218.926514>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5199.881348, 73.999992, 3218.494629>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5198.354980, 74.000008, 3217.344238>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5197.279297, 73.999985, 3216.513916>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.536133, 74.000000, 3215.939941>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5196.036621, 74.000008, 3215.552246>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5195.713867, 73.999992, 3215.298584>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5192.865723, 74.000000, 3213.130615>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5191.205078, 74.000000, 3211.847656>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5190.270508, 74.000008, 3211.119629>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5189.758301, 74.000008, 3210.716797>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5189.476074, 74.000000, 3210.494141>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5189.325684, 74.000000, 3210.370117>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5187.307129, 73.999992, 3208.827393>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5186.368652, 74.000008, 3208.090820>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5185.956055, 74.000000, 3207.764160>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5183.734375, 74.000000, 3206.035400>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5182.853027, 74.000008, 3205.331299>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5182.526855, 73.999985, 3205.061523>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5180.331055, 74.000008, 3203.363525>)
2:48:37 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5179.580078, 73.999992, 3202.772705>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5179.339355, 73.999992, 3202.581787>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5176.695313, 74.000015, 3200.512207>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5175.968262, 74.000008, 3199.936523>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5173.250000, 74.000000, 3197.813965>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5172.615234, 74.000000, 3197.313232>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5172.481934, 74.000000, 3197.208008>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5172.426270, 73.999992, 3197.164307>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5172.375488, 74.000008, 3197.121338>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5171.885742, 74.000008, 3196.731201>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5171.506348, 73.999985, 3196.433594>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5163.816406, 74.000000, 3190.373779>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5156.230469, 74.000000, 3184.396973>)
2:48:38 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5148.999023, 74.000008, 3178.665527>)
2:48:39 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5142.855469, 73.999985, 3173.760742>)
2:58:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5930.266602, 73.999992, 3535.122070>)
2:58:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5942.123047, 74.000008, 3542.041992>)
2:58:6 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5954.002930, 74.000008, 3548.989746>)
2:58:6 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5963.892090, 73.999985, 3555.516846>)
2:58:7 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5973.749512, 74.000000, 3562.270752>)
2:58:7 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5985.198730, 73.999992, 3570.101563>)
2:58:8 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5996.898438, 73.999992, 3578.003906>)
2:58:9 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6011.204590, 73.999962, 3587.714844>)
2:58:10 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6020.336914, 74.000000, 3596.078369>)
2:58:10 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6028.584961, 73.999992, 3604.176758>)
2:58:11 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6035.099121, 74.000000, 3614.826904>)
2:58:12 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6040.495605, 74.000000, 3625.245361>)
2:58:12 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6040.429688, 74.000000, 3630.095459>)
2:58:13 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6041.604492, 74.017975, 3634.518311>)
2:58:13 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6044.208496, 74.000000, 3644.140869>)
2:58:14 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6046.290527, 74.000008, 3658.861328>)
2:58:15 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<6046.871094, 74.000000, 3671.908447>)
3:1:34 | [WeatherManager] Send Data Count is 0
3:2:10 | [Time Manager] Setting Date to 2026/9/22 1:7
3:2:13 | [Time Manager] Setting Date to 2026/9/22 1:7
3:3:49 | "Zackstabz" (steamid=76561198118650977) toggled godmode
3:4:0 | "Zackstabz" (steamid=76561198118650977) toggled freecam
3:4:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5686.615723, 74.820427, 3294.353760>)
3:4:30 | [WeatherManager] Send Data Count is 0
3:4:34 | [Time Manager] Setting Date to 2026/9/22 9:33
3:4:34 | [Time Manager] Setting Date to 2026/9/22 9:33
3:4:39 | "Zackstabz" (steamid=76561198118650977) toggled freecam
3:4:46 | "Zackstabz" (steamid=76561198118650977) toggled freecam
3:4:52 | "Zackstabz" (steamid=76561198118650977) toggled freecam
3:5:7 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5686.403320, 75.317245, 3300.271973>)
3:5:8 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5685.871582, 76.077988, 3298.822754>)
3:5:9 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5685.753906, 76.729858, 3298.526123>)
3:5:35 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5751.127930, 87.983414, 3256.889404>)
3:5:42 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5474.522949, 103.800537, 2935.526611>)
3:6:36 | Player "Zackstabz" (steamId=76561198118650977) initiated disconnect process...
3:6:37 | Player "Zackstabz" (steamId=76561198118650977) disconnected early from server (EXIT NOW).
